Time,Busy UPFs
0.0,0
189.0,1
247.0,1
258.0,1
384.0,1
461.0,1
680.0,2
695.0,2
708.0,2
755.0,2
777.0,2
787.0,2
816.0,2
913.0,2
959.0,3
962.0,3
974.0,3
1160.0,3
1264.0,3
1271.0,3
1308.0,3
1351.0,3
1501.0,4
1502.0,4
1570.0,4
1616.0,4
1629.0,4
1723.0,4
1864.0,4
2024.0,4
2038.0,4
2063.0,4
2083.0,5
2111.0,5
2160.0,5
2262.0,5
2533.0,5
2547.0,5
2653.0,5
2735.0,5
2740.0,6
2748.0,6
2810.0,6
2815.0,6
2824.0,6
2840.0,6
2904.0,6
2944.0,6
3023.0,6
3075.0,6
3101.0,7
3118.0,7
3153.0,7
3161.0,7
3225.0,7
3250.0,7
3270.0,7
3288.0,7
3377.0,7
3383.0,7
3394.0,7
3498.0,7
3627.0,8
3640.0,8
3689.0,8
3831.0,8
3839.0,8
3874.0,8
3998.0,8
4043.0,8
4059.0,9
4085.0,9
4110.0,9
4186.0,9
4338.0,9
4347.0,9
4353.0,9
4409.0,9
4428.0,9
4441.0,9
4451.0,9
4454.0,9
4498.0,9
4519.0,9
4537.0,9
4580.0,9
4598.0,10
4688.0,10
4758.0,10
4770.0,10
4833.0,10
4881.0,10
4994.0,10
5007.0,10
5063.0,10
5065.0,10
5082.0,11
5094.0,11
5125.0,11
5135.0,11
5143.0,11
5275.0,11
5343.0,11
5394.0,11
5412.0,12
5555.0,12
5618.0,12
5645.0,12
5788.0,12
5883.0,12
5889.0,12
6033.0,12
6034.0,13
6103.0,13
6114.0,13
6136.0,13
6188.0,13
6204.0,13
6221.0,13
6307.0,13
6357.0,13
6426.0,13
6479.0,13
6508.0,13
6526.0,14
6558.0,14
6621.0,14
6657.0,14
6665.0,14
6708.0,14
6789.0,14
6791.0,14
6804.0,14
6997.0,14
7026.0,15
7089.0,15
7141.0,15
7191.0,15
7404.0,15
7524.0,15
7555.0,15
7579.0,15
7630.0,15
7705.0,15
7712.0,15
7805.0,15
7816.0,15
8001.0,14
8047.0,15
8132.0,15
8208.0,15
8230.0,15
8334.0,15
8487.0,15
8531.0,15
8597.0,15
8697.0,15
8723.0,16
8729.0,16
8730.0,16
8733.0,16
8782.0,16
8838.0,16
8841.0,16
8869.0,16
8916.0,16
8932.0,16
8938.0,17
8986.0,17
9050.0,17
9283.0,17
9308.0,17
9313.0,17
9328.0,17
9334.0,17
9540.0,17
9613.0,18
9615.0,18
9627.0,18
9646.0,18
9725.0,18
9746.0,18
9755.0,18
9830.0,18
9890.0,18
9908.0,18
9997.0,18
10005.0,18
10008.0,19
10085.0,19
10092.0,19
10133.0,19
10169.0,19
10229.0,19
10232.0,19
10294.0,19
10299.0,20
10387.0,20
10416.0,20
10428.0,20
10444.0,20
10493.0,20
10549.0,20
10603.0,20
10618.0,20
10668.0,20
10718.0,20
10722.0,20
10729.0,20
10749.0,20
10897.0,20
10902.0,20
10904.0,20
10976.0,20
11001.0,20
11003.0,21
11024.0,21
11099.0,21
11231.0,21
11333.0,21
11346.0,21
11384.0,21
11397.0,21
11449.0,21
11483.0,21
11577.0,21
11592.0,21
11744.0,21
11780.0,22
11837.0,22
11868.0,22
12014.0,22
12050.0,22
12124.0,22
12266.0,22
12267.0,22
12273.0,22
12360.0,22
12364.0,22
12461.0,22
12515.0,22
12553.0,22
12578.0,22
12666.0,22
12764.0,22
12807.0,23
12857.0,23
12994.0,23
13002.0,23
13092.0,23
13099.0,23
13175.0,23
13283.0,23
13289.0,24
13559.0,24
13588.0,24
13772.0,24
13860.0,24
13866.0,24
13918.0,24
