Time,Free Slots
0.0,0
216.0,7
282.0,6
295.0,5
439.0,4
527.0,11
778.0,10
796.0,9
811.0,8
865.0,7
890.0,6
901.0,5
934.0,4
1044.0,11
1096.0,10
1100.0,9
1114.0,8
1327.0,7
1446.0,6
1454.0,5
1496.0,4
1545.0,11
1567.0,10
1717.0,11
1795.0,10
1848.0,9
1863.0,8
1970.0,7
2131.0,6
2314.0,5
2330.0,4
2359.0,11
2382.0,10
2414.0,9
2470.0,8
2586.0,7
2896.0,6
2912.0,5
3033.0,4
3127.0,11
3133.0,10
3142.0,9
3189.0,8
3212.0,9
3217.0,8
3246.0,7
3287.0,6
3295.0,7
3319.0,8
3365.0,7
3455.0,6
3514.0,5
3563.0,4
3603.0,11
3612.0,10
3685.0,9
3736.0,8
3757.0,7
3858.0,6
3864.0,5
3877.0,4
3995.0,11
4142.0,10
4157.0,9
4213.0,8
4375.0,7
4384.0,6
4424.0,5
4478.0,4
4565.0,5
4617.0,4
4635.0,11
4645.0,10
4665.0,11
4693.0,10
4780.0,9
4891.0,8
4914.0,9
5035.0,10
5056.0,9
5082.0,8
5085.0,7
5135.0,6
5159.0,5
5179.0,4
5209.0,11
5228.0,12
5248.0,11
5351.0,10
5445.0,9
5517.0,8
5572.0,7
5701.0,6
5716.0,5
5780.0,4
5782.0,11
5801.0,10
5815.0,9
5850.0,8
5861.0,7
5870.0,6
6020.0,5
6098.0,4
6156.0,11
6176.0,10
6339.0,9
6411.0,8
6442.0,7
6460.0,6
6605.0,7
6714.0,6
6721.0,5
6885.0,4
6886.0,11
6947.0,10
6964.0,11
6977.0,10
7062.0,9
7081.0,8
7101.0,7
7200.0,6
7218.0,5
7336.0,6
7397.0,5
7430.0,4
7450.0,11
7486.0,10
7558.0,9
7608.0,8
7657.0,7
7749.0,6
7751.0,5
7765.0,4
7778.0,11
7798.0,12
7985.0,12
8004.0,11
8019.0,12
8208.0,11
8451.0,10
8588.0,9
8623.0,8
8651.0,7
8710.0,6
8764.0,5
8796.0,6
8798.0,5
8804.0,6
9134.0,5
9187.0,4
9284.0,11
9371.0,10
9396.0,9
9515.0,8
9690.0,7
9734.0,6
9740.0,7
9815.0,6
9929.0,5
9959.0,4
9967.0,11
9970.0,10
10026.0,9
10065.0,8
10090.0,9
10093.0,8
10125.0,7
10178.0,6
10196.0,5
10203.0,4
10258.0,11
10304.0,10
10331.0,10
10597.0,9
10625.0,8
10648.0,7
10654.0,6
10830.0,5
10889.0,6
10975.0,5
10989.0,4
11010.0,11
11020.0,10
11063.0,11
11100.0,12
11124.0,11
11220.0,10
11288.0,9
11309.0,8
11411.0,7
11420.0,6
11423.0,5
11510.0,4
11518.0,11
11564.0,10
11605.0,9
11639.0,8
11674.0,9
11678.0,8
11749.0,7
11888.0,6
11901.0,5
11938.0,4
11975.0,5
12038.0,4
12100.0,11
12136.0,10
12174.0,11
12181.0,10
12231.0,11
12236.0,10
12266.0,11
12315.0,10
12435.0,11
12441.0,10
12443.0,9
12526.0,8
12554.0,7
12556.0,6
12580.0,5
12666.0,4
12816.0,11
12857.0,10
12933.0,11
12947.0,10
13006.0,9
13065.0,10
13104.0,9
13211.0,8
13319.0,7
13402.0,8
13443.0,7
13544.0,6
13711.0,5
13775.0,4
13837.0,5
13999.0,4
14000.0,11
14007.0,10
14222.0,9
14283.0,8
14326.0,7
14355.0,6
14455.0,5
14567.0,4
14616.0,11
14673.0,10
14830.0,9
14839.0,8
14942.0,7
14950.0,6
15037.0,5
15161.0,4
15168.0,11
15477.0,10
15511.0,9
15536.0,8
15561.0,8
15722.0,9
15822.0,8
15829.0,7
15888.0,6
16058.0,5
16107.0,4
16153.0,11
16163.0,10
16219.0,9
16238.0,10
16301.0,9
16335.0,8
16480.0,7
16678.0,6
16681.0,7
16690.0,8
16716.0,9
16849.0,8
16920.0,9
16967.0,10
17126.0,9
17319.0,8
17328.0,9
17404.0,10
17481.0,11
17539.0,10
17581.0,9
17592.0,10
17677.0,9
17748.0,8
17753.0,7
17914.0,8
17937.0,7
17938.0,8
18096.0,7
18166.0,6
18177.0,5
18181.0,6
18213.0,5
18219.0,4
18518.0,11
18525.0,12
18580.0,11
18701.0,10
18714.0,9
18815.0,8
18838.0,9
18868.0,8
18905.0,9
18918.0,10
18931.0,10
18949.0,9
18970.0,10
18986.0,9
19051.0,10
19114.0,11
19116.0,10
19173.0,9
19235.0,10
19247.0,9
19282.0,8
19343.0,7
19349.0,8
19414.0,9
19460.0,8
19483.0,7
19496.0,6
19601.0,7
19611.0,8
19626.0,9
20210.0,8
20240.0,7
20268.0,8
20473.0,7
20475.0,8
20496.0,7
20506.0,6
20573.0,5
20653.0,4
20685.0,11
20765.0,10
20871.0,9
20937.0,8
20972.0,9
21008.0,10
