Time,UPFs
0.0,0
168.0,1
219.0,1
229.0,1
341.0,1
410.0,2
605.0,2
619.0,2
631.0,2
673.0,2
693.0,2
702.0,2
728.0,2
814.0,3
855.0,3
858.0,3
869.0,3
1035.0,3
1127.0,3
1133.0,3
1166.0,3
1204.0,4
1338.0,4
1399.0,4
1440.0,4
1450.0,4
1452.0,4
1535.0,4
1661.0,4
1803.0,4
1816.0,4
1838.0,5
1856.0,5
1881.0,5
1925.0,5
2016.0,5
2257.0,5
2270.0,5
2364.0,5
2437.0,6
2442.0,6
2449.0,6
2504.0,6
2508.0,6
2530.0,6
2547.0,6
2587.0,6
2623.0,6
2693.0,6
2739.0,7
2777.0,7
2808.0,7
2815.0,7
2872.0,7
2912.0,7
2928.0,7
2954.0,7
3007.0,7
3012.0,7
3022.0,8
3114.0,8
3221.0,8
3228.0,8
3240.0,8
3284.0,8
3410.0,8
3417.0,8
3448.0,8
3558.0,8
3598.0,9
3612.0,9
3635.0,9
3657.0,9
3725.0,9
3907.0,9
3924.0,9
3941.0,9
3961.0,9
3964.0,9
4003.0,10
4022.0,10
4038.0,10
4076.0,10
4092.0,10
4096.0,10
4131.0,10
4172.0,10
4233.0,10
4245.0,10
4301.0,10
4344.0,10
4412.0,10
4445.0,10
4457.0,10
4507.0,10
4508.0,11
4523.0,11
4534.0,11
4562.0,11
4571.0,11
4578.0,11
4695.0,11
4755.0,11
4801.0,12
4817.0,12
4944.0,12
5000.0,12
5024.0,12
5151.0,12
5236.0,12
5241.0,12
5369.0,13
5370.0,13
5431.0,13
5441.0,13
5507.0,13
5522.0,13
5538.0,13
5615.0,13
5685.0,14
5721.0,14
5768.0,14
5794.0,14
5810.0,14
5838.0,14
5890.0,14
5894.0,14
5933.0,14
5971.0,14
6043.0,14
6045.0,14
6056.0,15
6227.0,15
6253.0,15
6400.0,15
6436.0,15
6539.0,15
6589.0,15
6646.0,15
6696.0,15
6724.0,15
6746.0,15
6792.0,15
6859.0,15
6865.0,15
7032.0,16
7122.0,16
7163.0,16
7239.0,16
7307.0,16
7327.0,16
7420.0,16
7556.0,16
7595.0,16
7654.0,16
7674.0,17
7743.0,17
7766.0,17
7772.0,17
7775.0,17
7819.0,17
7869.0,17
7872.0,17
7897.0,17
7939.0,17
7953.0,18
7958.0,18
8001.0,18
8058.0,18
8265.0,18
8287.0,18
8305.0,18
8310.0,18
8493.0,19
8560.0,19
8571.0,19
8588.0,19
8658.0,19
8677.0,19
8701.0,19
8752.0,19
8805.0,19
8821.0,19
8900.0,20
8907.0,20
8910.0,20
8978.0,20
8984.0,20
8992.0,20
9020.0,20
9052.0,20
9076.0,20
9106.0,20
9109.0,20
9164.0,20
9272.0,21
9282.0,21
9340.0,21
9389.0,21
9418.0,21
9437.0,21
9495.0,21
9520.0,21
9539.0,21
9567.0,21
9594.0,21
9625.0,21
9698.0,21
9702.0,21
9704.0,21
9704.0,21
9768.0,21
9790.0,21
9792.0,22
9811.0,22
9878.0,22
9995.0,22
9997.0,22
10086.0,22
10097.0,22
10189.0,22
10219.0,22
10303.0,22
10452.0,23
10484.0,23
10563.0,23
10612.0,23
10653.0,23
10684.0,23
10686.0,23
10693.0,23
10720.0,23
10791.0,23
10917.0,23
10918.0,23
10924.0,23
11091.0,23
11139.0,23
11173.0,23
11196.0,23
11262.0,23
11274.0,23
11361.0,23
11399.0,24
11444.0,24
11566.0,24
11573.0,24
11653.0,24
11659.0,24
11727.0,24
11823.0,24
11828.0,25
11865.0,25
11951.0,25
12068.0,25
